S.No.,Institute Code,Institute Name,Place,District,Region,Minority,Inst.Type,University Name,Address,Type of College,Year of EST
1,10033,A.A.R .AND B.M.R. DEGREE COLLEGE NUNNA,VIJAYAWADA RURAL,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"D.NO:4-166/A, NUNNA(P.O), VIJAYAWADA (RURAL)KRISHNA (Dt) - 521212,NUNNA,VIJAYAWADA RURAL,Krishna,521212",Private Un-Aided,2005
2,10035,Aditya Womens Degree College,VIJAYAWADA URBAN,KRISHNA,AU,NO,Women,KRISHNA UNIVERSITY,"1-2,PORANKI,PENAMALURU,Krishna,521137",Private Un-Aided,1996
3,10056,ABHYUDAYA DEGREE COLLEGE SRIKAKULAM,SRIKAKULAM,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"RELLA STREET,WARD NO.5,DOOR NO.2-2/14-22,BEHIND FOREST OFFICE,SRIKAKULAM-532001(NEW CAMPUS OF THE COLLEGE),BALAGA (RURAL),SRIKAKULAM,Srikakulam,532001",Private Un-Aided,2002
4,10058,ABHYUDAYA MAHILA DEGREE COLLEGE GUNTUR,Guntur(C) (Urban),GUNTUR,AU,NO,Women,ACHARYA NAGARJUNA UNIVERSITY,"3rd LINE D.NO. 5-89-5/2 LAKSHMIPURA GUNTUR 52207,Guntur(C) (Urban),Guntur(C) (Urban),Guntur,522007",Private Un-Aided,1999
5,10061,ABM DEGREE COLLEGE BALIGHATTAM NARSIPATNAM,NARSIPATNAM,ANAKAPALLI,AU,NO,COED,ANDHRA UNIVERSITY,"MAIN ROAD, NARSIPATNAM,Narsipatnam,NARSIPATNAM,Visakhapatnam,531116",Private Un-Aided,2007
6,10071,AC (DAY SESSION) DEGREE COLLEGE GUNTUR,GUNTUR,GUNTUR,AU,MINORITY,COED,ACHARYA NAGARJUNA UNIVERSITY,"MAIN ROAD,GUNTUR (U),GUNTUR,Guntur,522001",Private Aided,1885
7,10073,AC (EVENING SESSION) DEGREE COLLEGE GUNTUR,GUNTUR,GUNTUR,AU,MINORITY,COED,ACHARYA NAGARJUNA UNIVERSITY,MAIN ROAD,Private Aided,1967
8,10092,ACTS DEGREE COLLEGE VISAKHAPATNAM,VISAKHAPATNAM,VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"D. No. 1-61/10SANDIPANI NAGAR, YENDADA,Yendada,VISAKHAPATNAM,Visakhapatnam,530045",Private Un-Aided,2001
9,10134,ADITYA DEGREE COLLEGE  PALAKOL,PALACOLE,WEST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"D.NO.21-8-1, RAMACHANDRA COLONY,PALACOLE (M/N),PALACOLE,West Godavari,534260",Private Un-Aided,2005
10,10135,ADITYA  DEGREE  COLLEGE  FOR  WOMEN     KAKINADA,KAKINADA (URBAN),KAKINADA,AU,NO,Women,ADIKAVI NANNAYA UNIVERSITY,"ROAD NO.5, SAMBHAMURTHY NAGAR, KAKINADA - 01,Bhanugudi Jn,KAKINADA (URBAN),East Godavari,533001",Private Un-Aided,2000
11,10140,ADITYA DEGREE COLLEGE RAJAHMUNDRY,RAJAHMUNDRY(URBAN),EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"D.No.78-3-1/1,Rajahmundry,RAJAHMUNDRY(URBAN),East Godavari,533103",Private Un-Aided,2003
12,10141,ADITYA DEGREE COLLEGE SRINAGAR ASILMETTA VISAKHAPATNAM,VISAKHAPATNAM(U),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"30-6-2, opp BSNL OFFICE , PREMA SAMAJAM ROAD, DABAGARDENS,VISAKHAPATNAM-530020,Visakhapatnam,VISAKHAPATNAM(U),Visakhapatnam,530020",Private Un-Aided,2005
13,10142,ADITYA DEGREE COLLEGE KAKINADA,KAKINADA (URBAN),KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"3-16E-9,Kakinada (Urban),East Godavari,533003",Private Un-Aided,1998
14,10143,AADITYA DEGREE COLLEGE NELLORE,NELLORE,SRI POTTI SRIRAMULU NELLORE,SVU,NO,COED,VIKRAMA SIMHAPURI UNIVERSITY,"DNO:27-1-1483,AADITYADEGREECOLLEGE,AADITYA NAGAR,S.P.S.R NELLORE.,NELLORE-II (U),NELLORE,Nellore,524002",Private Un-Aided,1999
15,10144,VEDA DEGREE COLLEGE TATIPAKA,RAZOLE,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"CINE ROAD,TATIPAKA,RAZOLE MANDAL,E.G.Dt 533249",Private Un-Aided,2002
16,10145,ADITYA DEGREE COLLEGE GOPALAPATNAM,VISAKHAPATNAM,VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"7-36/1,2,3 beside hymavathi hopsital.prasanathi Nagar,gopalapatnam-27,Gopalapatnam,Visakhapatnam,530027",Private Un-Aided,2005
17,10146,A V N SCIENCE AND ARTS DEGREE COLLEGE S KOTA,SRUNGAVARAPUKOTA,VIZIANAGARAM,AU,NO,COED,ANDHRA UNIVERSITY,GAYATRI NAGAR S.KOTA VIZIANAGARAM,Private Un-Aided,2001
18,10147,ADITYA DEGREE COLLEGE SRIKAKULAM,SRIKAKULAM,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"SRINIVASA NAGARNEAR OFFICIAL COLONY,PATHASRIKAKULAM (RURAL),SRIKAKULAM,532001",Private Un-Aided,2000
19,10173,ADITYA DEGREE COLLEG FOR WOMEN  RAJAHMUNDRY,RAJAHMUNDRY(URBAN),EAST GODAVARI,AU,NO,Women,ADIKAVI NANNAYA UNIVERSITY,"D.No. 78-11-34/1,77-2-2/1,Rajahmundry,RAJAHMUNDRY(URBAN),East Godavari,533103",Private Un-Aided,2003
20,10174,The adoni arts and science college adoni  (degree),ADONI,KURNOOL,SVU,NO,COED,RAYALASEEMA UNIVERSITY,"YEMMIGANUR ROAD,MANDAGIRI GRAMA PANCHAYAT,ADONI",Private Aided,1962
21,10182,"Adusumilli Gopalakrishnaiah and Sugarcane Growers Siddhartha Degree College of Arts and Science, Vuy",VUYYURU,KRISHNA,AU,NO,COED,KRISHNA UNIVERSITY,"2-391,VUYYURU,VUYYURU,Krishna,521165",Private Un-Aided,1975
22,10189,AGKM  COLLEGE  SATANAPALLI 074,SATTENAPALLE,PALNADU,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,Not Found,Private Un-Aided,1978
23,10190,UNITY DEGREE COLLEGE,VISAKHAPATNAM(U),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,32-1-53,Private Un-Aided,1991
24,10192,AGL COLLEGE VIZIANAGARM,Vizianagaram (Urban),VIZIANAGARAM,AU,NO,COED,ANDHRA UNIVERSITY,"8-24LANE,BLOCK-C,Vizianagaram (Urban),Vizianagaram,535002",Private Un-Aided,1999
25,10214,AJ KALASALA MACHILIPATNAM,RAJUPETA,KRISHNA,AU,NO,COED,KRISHNA UNIVERSITY,"4/985, 0, RAJUPETA",Private Un-Aided,
26,10220,ANDHRA KESARI DEGREE COLLEGE  EG.38,RAJAHMUNDRY(URBAN),EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"80-2-1, J.N.Road,Prakasham Nagar Block No-II, Rajahmundry - 533103,Rajahmundry,RAJAHMUNDRY(URBAN),East Godavari,533103",Private Un-Aided,1994
27,10231,AKRG  DEGREE COLLEGE NALLAJERLA,NALLAJERLA,EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"K.N.ROAD,NEAR BUS STAND,NALLAJERLA,West Godavari,534112",Private Un-Aided,1991
28,10242,AKVK DEGREE COLLEGE ONGOLE,Ongole (Urban),PRAKASAM,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"20-5-105,Ongole (Urban),Ongole (Urban),Prakasam,523002",Private Un-Aided,1997
29,10249,al ameer institute of management technogoly,RAJAHMUNDRY(URBAN),EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"D.No.75-6-12, Prakash Nagar, Rajahmundry.",Private Un-Aided,1999
30,10282,ALPHA DEGREE COLLEGE KANIGIRI,KANIGIRI,PRAKASAM,AU,NO,COED,ANDHRA KESARI UNIVERSITY,9-358-2 GARLAPETA ROAD,Private Un-Aided,2001
31,10303,AM DEGREE COLLEGE GUNTUR,GUNTUR,GUNTUR,AU,MINORITY,COED,ACHARYA NAGARJUNA UNIVERSITY,"D.No:17-14-24,GUNTUR (U),GUNTUR,522003",Private Aided,1984
32,10309,AMAL DEGREE COLLEGE,ANAKAPALLI,ANAKAPALLI,AU,NO,COED,ANDHRA UNIVERSITY,"Kotturu Jn, Anakapalle",Private Aided,1952
33,10326,AMG DEGREE COLLEGE  FOR WOMEN  CHILAKALURIPET,CHILAKALURIPET,PALNADU,AU,NO,Women,ACHARYA NAGARJUNA UNIVERSITY,"AMG INDIA INTENATIONAL PREMISES,Chilakaluripet (Urban),Guntur,522616",Private Un-Aided,1993
34,10334,ANNAPURNA MEMORIAL MODERN DEGREE COLLEGE VIJAYAWADA,VIJAYAWADA URBAN,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"40-7-31, MOGALRAJAPURAM,VIJAYAWADA(URBAN),Krishna,520010",Private Un-Aided,1998
35,10431,ANR COLLEGE (DEGREE) GUDIVADA,GUDIVADA,KRISHNA,AU,NO,COED,KRISHNA UNIVERSITY,"POST BOX NO.20,GUDIVADA,Krishna,521301",Private Un-Aided,1950
36,10434,anrpl arts and science college gudivada,Gudivada (Urban),KRISHNA,AU,NO,COED,KRISHNA UNIVERSITY,"ELURU ROAD,GUDIVADA,Gudivada (Urban),Krishna,521301",Private Un-Aided,1993
37,10780,A.Q.J. DEGREE   P.G. COLLEGE,ANANDAPURAM,VISAKHAPATNAM,AU,MINORITY,COED,ANDHRA UNIVERSITY,"Gudilova, (village), Anandapuram (mandal), visakhapatnam-(dist)",Private Un-Aided,1996
38,10838,ASN DEGREE COLLEGE FOR WOMEN AMALAPURAM,Amalapuram (Urban),KONASEEMA,AU,NO,Women,ADIKAVI NANNAYA UNIVERSITY,"4-1-38, RAJYALAKSHMI GARDENS,BHUPAYYA AGRAHARAM,AMALAPURAM,Amalapuram (Urban),East Godavari,533201",Private Un-Aided,1992
39,10839,ASN DEGREE COLLEGE TENALI,TENALI,GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"7-5-77PRAKASAMROAD,GANGANAMMAPET,TENALI,TENALI(U),Guntur,522201",Private Un-Aided,1988
40,10842,"Sri A.S.N.M Government College (Autonomous), Palakol",Palakol,WEST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"Sambhuni Peta,Palakol",Government,1968
41,10856,ATCHUTA DEGREE COLLEGE ATCHUTAPURAM,ATCHUTAPURAM,ANAKAPALLI,AU,NO,COED,ANDHRA UNIVERSITY,Door No 8-9 Main road Atchutapuram-531011,Private Un-Aided,2008
42,10865,AUDISANKARA  COLLEGE OF ENGINEERING AND TECHNOLOGY  G2,"NH-16,By pass road,arvinda Nagar gudur524101,tirupati,dist",Tirupati,SVU,NO,COED,JNTUA,NH-16 BYPASS ROAD,Private Un-Aided,2001
43,10906,Avanthi Degree PG College Korukonda Road,RAJAHMUNDRY(URBAN),EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"d.no:24-1-49,weavers colony,korukonda road,opposite brotheren church,rajahmundry.,RAJAHMUNDRY(URBAN),East Godavari,533105",Private Un-Aided,1994
44,10920,AVR  DEGREE COLLEGE  AVANIGADDA,AVANIGADDA,KRISHNA,AU,NO,COED,KRISHNA UNIVERSITY,"4-121 4th WARD,AVANIGADDA,AVANIGADDA,Krishna,521121",Private Un-Aided,2005
45,10923,AVR AND VPR DEGREE COLLEGE MANDAPETA,Mandapeta (Urban),KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"D.NO.29-1-35/,29-1-57, Ravulapet Street, Mandapeta.,Mandapeta (Urban),East Godavari,533308",Private Un-Aided,2005
46,10959,BA AND KR DEGREE AND PG COLLEGE ONGOLE,ONGOLE,PRAKASAM,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"BALAJIRAOPETNEAR POLERAMMA TEMPLE,ONGOLE,Prakasam,523001",Private Un-Aided,1999
47,10974,SRI BALASAI DEGREE COLLEGE MACHILIPATNAM,Machilipatnam (Urban),KRISHNA,AU,NO,COED,KRISHNA UNIVERSITY,"D No 27-255,Machilipatnam (Urban),Krishna,521001",Private Un-Aided,2000
48,10985,BALAJI DEGREE COLLEGE NIDUBROLU,Ponnur (Urban),GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"NATAJI NAGAR 3RD LANE,NIDUBROLU",Private Un-Aided,2003
49,10995,SRI  BALAJI VIDYAVIHAR DEGREE COLLEGE   HINDUPUR,HINDUPUR,SRI SATHYA SAI,SVU,NO,COED,SRI KRISHNADEVARAYA UNIVERSITY,"PIPE LINE ROAD, VIDYANAGAR, HINDUPUR, ANANTAPUR 515201",Private Un-Aided,1998
50,10999,BALAYESU DEGREE COLLEGE  HINDUPUR,Hindupur (Urban),SRI SATHYA SAI,SVU,NO,COED,SRI KRISHNADEVARAYA UNIVERSITY,"19-2-79, NIMKAMPALLI ROAD,HINDUPUR,Hindupur (Urban),Anantapur,515201",Private Un-Aided,1998
51,11008,"BAPATLA COLLEGE OF ARTS AND SCIENCES,  BAPATLA",BAPATLA,BAPATLA,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"Karlapalem Road, Bapatla Guntur Dist.Pin Code: 522101,BAPATLA EAST (U),BAPATLA,Guntur,522101",Private Un-Aided,1963
52,11028,BASI REDDY MEMORIAL DEGREE COLLEGE NANDIKOTKUR (45),NANDI KOTKUR,NANDYAL,SVU,NO,COED,RAYALASEEMA UNIVERSITY,"16-31 E,Nandyal Road, Nandikotkur,NANDI KOTKUR,Kurnool,518401",Private Un-Aided,2008
53,11031,BBH DEGREE COLLEGE VETAPALEM,VETAPALEM,BAPATLA,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"KATARI PALEM ROAD,CHALLA REDDY PALEM,VETAPALEM,Prakasam,523187",Private Un-Aided,1981
54,11058,Pragati Degree College Sattenapalli,SATTENAPALLE,PALNADU,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,MAIN ROAD,Private Un-Aided,1994
55,11059,BGBS DEGREE COLLEGE NARASAPURAM,NARASAPURAM,WEST GODAVARI,AU,NO,Women,ADIKAVI NANNAYA UNIVERSITY,"14-08-15Roypeta, Narsapur, W.G.Dt., A.P 534 275,Narasapur (Urban),West Godavari,534275",Private Aided,1967
56,11062,BH SR AND VLM DEGREE COLLEGE  DEVERAPALLI  320,DEVARAPALLE,EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"10-150, Devarapalli, State High Way, Eluru Road,DEVARAPALLE,West Godavari,534313",Private Un-Aided,1994
57,11102,BHARATHI DEGREE COLLEGE CHIRALA,CHIRALA,BAPATLA,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"Station Road,12-2-165,CHIRALA (RURAL),CHIRALA,Prakasam,523155",Private Un-Aided,2001
58,11128,BHASKAR DEGREE COLLEGE  PARVATHIPURAM,PARVATHIPURAM,PARVATHIPURAM MANYAM,AU,NO,COED,ANDHRA UNIVERSITY,"BYPASS ROAD,BELAGAM PARVATHIPURAM,Vizianagaram,535501",Private Un-Aided,1998
59,11156,BHH DEGREE COLLEGE FOR WOMEN GUNTUR,GUNTUR,GUNTUR,AU,NO,Women,ACHARYA NAGARJUNA UNIVERSITY,"D.No 5-21-97, 2/17 Brodipet, Guntur.,GUNTUR (U),GUNTUR,522002",Private Un-Aided,1991
60,11179,SRI CHAITANYA DEGREE COLLEGE  PULIVENDULA,PULIVENDLA,YSR,SVU,NO,COED,YOGI VEMANA UNIVERSITY,"PEDDA RANGAPURAM PULIVENDULA,Kadapa,516390",Private Un-Aided,1996
61,11186,BLOSSOM DEGREE COLLEGE  MULAKALACHERUVU,MULAKALACHERUVU,ANNAMAYYA,SVU,NO,COED,SRI VENKATESWARA UNIVERSITY,"PLOT NO: 391-1,391-2,MOLAKALACHERUVU,Chittoor,517390",Private Un-Aided,2008
62,11214,SRI CHANAKYA DEGREE COLLEGE,VISAKHAPATNAM(U),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,36-46-3,Private Un-Aided,2002
63,11234,"BRR AND GKR CHAMBERS  DEGREE PG  COLLEGE, PALAKOLLU 367",PALACOLE,WEST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"1-2-26, L.R.PETA 5TH STREET, PALAKOL,PALACOLE (M/N),West Godavari,534260",Private Un-Aided,1994
64,11235,BS JR DEGREE COLLEGE  AKKAVARAM TEKKALI,TEKKALI,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"AKKAVARAM VILL, TEKKALI,AKKAVARAM,TEKKALI,Srikakulam,532201",Private Un-Aided,1994
65,11243,BSR DEGREE COLLEGE DIVILI,PEDDAPURAM,KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"DiviliPeddapuram mandal,DIVILI,PEDDAPURAM,East Godavari,533433",Private Un-Aided,2005
66,11244,BSR DEGREE COLLEGE KAVITI,KAVITI,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"SKE ROAD,KOTTURU,KAVITI,SRIKAKULAM(DIST),532322",Private Un-Aided,2005
67,11247,BSSB DEGREE COLLEGE TADIKONDA,TADIKONDA,GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"Guntur Road,TADIKONDA,Guntur,522236",Private Aided,1976
68,11251,"B.T Government Degree College, Madanapalle",Madanapalle,ANNAMAYYA,SVU,NO,COED,SRI VENKATESWARA UNIVERSITY,"1-555,BANDAMEEDA KAMMAPALLE ,MANDANPALLE,Chittoor,517325",Government,1915
69,11262,BVC INSTITUTE OF TECHNOLOGY AND SCIENCE BATLAPALEM,AMALAPURAM,KONASEEMA,AU,NO,COED,JNTUK,BATLAPALEM,Private Un-Aided,2002
70,11264,BVK COLLEGE,VISAKHAPATNAM(U),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"47-1-98, DWARAKANAGAR,VISAKHAPATNAM",Private Un-Aided,1980
71,11276,"Sri C Dass Arts & science college, Sathyavedu",SATYAVEDU,TIRUPATI,SVU,NO,COED,SRI VENKATESWARA UNIVERSITY,"NAGALAMMA TEMPLE,SATYAVEDU,Chittoor,517588",Private Un-Aided,1991
72,11289,HIMAJA DEGREE COLLEGE PUTTUR,PUTTUR,TIRUPATI,SVU,NO,COED,SRI VENKATESWARA UNIVERSITY,"Kalyanapuram, Puttur Chittoor(dist)-517583",Private Un-Aided,1999
73,11304,"CAREER DEGREE COLLEGE, Brodipet, Guntur CODE NO 165",GUNTUR,GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"5-24-1 3/10 BRODIPET, GUNTUR,GUNTUR (U)-522002",Private Un-Aided,1998
74,11315,CBR DEGREE COLLEGE PITHAPURAM,Pithapuram (Urban),KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"8-2-46/A1,Pithapuram (Urban),East Godavari,533450",Private Un-Aided,2003
75,11330,"S.Ch.V.P.M.R Government Degree College, Ganapavaram",Ganapavaram,ELURU,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"door no 3-304/2 Pippara Road,Ganapavaram",Government,1972
76,11339,CHAITANYA BHARATHI DEGREE COLLEGE CHIRALA,CHIRALA,BAPATLA,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"14-16-3/1,CHIRALA (RURAL),CHIRALA,Prakasam,523155",Private Un-Aided,2004
77,11350,CHAITANYA DEGREE COLLEGE  BADVEL,Badvel( Urban ),YSR,SVU,NO,COED,YOGI VEMANA UNIVERSITY,"10-1-285 288, Mydukur Road,Badvel,,BADVEL (P) (U),BADVEL,Kadapa,516227",Private Un-Aided,2005
78,11351,CHAITANYA DEGREE COLLEGE  S KOTA,SRUNGAVARAPUKOTA,VIZIANAGARAM,AU,NO,COED,ANDHRA UNIVERSITY,"ARAKU ROAD,SRINIVASA COLONY,S.KOTA,",Private Un-Aided,2005
79,11354,CHAITANYA DEGREE  & PG COLLEGE FOR WOMEN GAJUWAKA,Visakhapatnam (Urban),VISAKHAPATNAM,AU,NO,Women,ANDHRA UNIVERSITY,D.No.26-43-4/3,Private Un-Aided,1996
80,11356,CHAITANYA DEGREE COLLEGE NANDIGAMA,NANDIGAMA,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"Dr.No.5-131 , MUKKAPATI NAGAR, RAITHUPETA, Nandigama,NANDIGAMA (U)(P),Krishna,521185",Private Un-Aided,1998
81,11358,KAKINADA ADITYA DEGREE COLLEGE SRIKAKULAM,Srikakulam (Urban),SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"Womens College Road,Srikakulam (Urban),Srikakulam,532001",Private Un-Aided,1994
82,11410,CHAKRADHAR DEGREE COLLEGE MACHERLA,MACHERLA,PALNADU,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"Andhra Bank LineSubbamma gari building,MACHERLA,Guntur,522426",Private Un-Aided,2005
83,11413,CHALAPATHI DEGREE COLLEGE  CHALAPATHINAGAR,TADIKONDA,GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"CHALAPATHI NAGAR , LAM,TADIKONDA,Guntur,522034",Private Un-Aided,2005
84,11443,SRI CHANDRAREDDY DEGREE COLLEGE  NELLORE,NELLORE,SRI POTTI SRIRAMULU NELLORE,SVU,NO,COED,VIKRAMA SIMHAPURI UNIVERSITY,"16-4-33, SOMASEKHARAPURAM, NEAR MUTHUKUR BUS STAND , NELLORE,NELLORE-II (U),-524003",Private Un-Aided,2003
85,11454,RV INSTITUTE OF TECHNOLOGY (FORMERLY KNOWN CHEBROLU ENGINEERING COLLEGE),GUNTUR,GUNTUR,AU,NO,COED,JNTUK,"NEW POWER STATION,CJEBROLU(PO&MD),GUNTUR 522212",Private Un-Aided,2008
86,11465,"CHIRALA ENGINEERING COLLEGE, CHIRLA",CHIRALA,BAPATLA,AU,NO,COED,JNTUK,RAMAPURAM BEACHROAD,Private Un-Aided,2001
87,11477,CHRISTIAN WOMENS DEGREE COLLEGE NALLAPADU GUNTUR,GUNTUR,GUNTUR,AU,NO,Women,ACHARYA NAGARJUNA UNIVERSITY,26-45-16/78,Private Un-Aided,1994
88,11489,CHUNDI RANGA NAYAKULU COLLEGE CHILAKALURIPET,NADENDLA,PALNADU,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"GANAPAVARAM(VILLAGE)NADENDLA(MD) GUNTUR(DT)A.P,-522619",Private Un-Aided,1968
89,11509,RAGHAVA DEGREE COLLEGE,Ongole (Urban),PRAKASAM,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"37-1-46,Ongole (Urban),Prakasam,523002",Private Un-Aided,2012
90,11510,SRI SRINIVASA DEGREE COLLEGE  ANANTAPUR,Anantapur (Urban),ANANTAPUR,SVU,NO,COED,SRI KRISHNADEVARAYA UNIVERSITY,"2ND FLOOR, B S N COMPLEX, RAJU ROAD, ANANTAPUR,Anantapur (Urban),Anantapur,515001",Private Un-Aided,2001
91,11520,cnr arts and science  degree college   pileru,PILERU,ANNAMAYYA,SVU,NO,COED,SRI VENKATESWARA UNIVERSITY,"2-1554/5,PILERU,Chittoor,517214",Private Un-Aided,2002
92,11533,COLLEGE OF ARTS AND COMMERCE AU WALTAIR,VISAKHAPATNAM(U),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,Not Found,University College,
93,11563,CR  REDDY DEGREE COLLEGE  RAYACHOTY,RAYACHOTI,ANNAMAYYA,SVU,NO,COED,YOGI VEMANA UNIVERSITY,"49/4F-3 YSR Street Bose Nagar Rayachoty,Kadapa,516269",Private Un-Aided,2005
94,11585,CSR SARMA DEGREE PG COLLEGE ONGOLE,Ongole (Urban),PRAKASAM,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"C.S.R.Sarma CollegeD.No.35-3-70Sitaramapuram,Ongole (Urban),Ongole (Urban),Prakasam,523001",Private Un-Aided,1952
95,11586,"CSSR & SRRM DEGREE & PG COLLEGE (AUTONOMOUS) KAMALAPURAM,KADAPA DISTRITCT",KAMALAPURAM,YSR,SVU,NO,COED,YOGI VEMANA UNIVERSITY,"13/525, REDDISTREET, KAMALAPURAM, KADAPA DIST,-516289",Private Un-Aided,1992
96,11587,"C.S.T.S Government Degree College, Jangareddygudem",Jangareddigudem,ELURU,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"Srinivasapuram Road,Jangareddigudem,W.GDist",Government,1974
97,11597,CVRM DEGREE COLLEGE   V. KOTA,VENKATAGIRI KOTA,CHITTOOR,SVU,NO,COED,SRI VENKATESWARA UNIVERSITY,"LONG BAZAAR, RAJA REDDY ST., V. KOTA,VENKATAGIRIKOTA,Chittoor,517424",Private Un-Aided,2002
98,11616,DADI INSTITUTE OF ENGINEERING  TECHNOLOGY,ANAKAPALLE,ANAKAPALLI,AU,NO,COED,JNTUV,NATIONAL HIGHWAY-5,Private Un-Aided,2006
99,11621,D.A.R .COLLEGE NUZVID,NUZVID,ELURU,AU,NO,COED,KRISHNA UNIVERSITY,"COLLEGE ROAD,NUZVID,Krishna,521201",Private Un-Aided,1966
100,11633,D. A. W  DEGREE COLLEGE PRODDATUR,Proddatur (Urban),YSR,SVU,NO,Women,YOGI VEMANA UNIVERSITY,"D.No.7/1210, Korrapadu Road,Proddatur (Urban),Proddatur (Urban),Kadapa,516360",Private Un-Aided,1979
101,11642,DCRM DEGREE COLLEGE AND PG COLLEGE INKOLLU,INKOLLU,BAPATLA,AU,NO,COED,ANDHRA KESARI UNIVERSITY,600-1 2,Private Un-Aided,1985
102,11661,DEEPTHI DEGREE COLLEGE  MAMIDIKUDURU,MAMIDIKUDURU,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"2-136/1, MAMIDIKUDURU,East Godavari,533247",Private Un-Aided,2005
103,11720,"D.K Government College for Women (Autonomous), Nellore",Nellore,SRI POTTI SRIRAMULU NELLORE,SVU,NO,Women,VIKRAMA SIMHAPURI UNIVERSITY,24-2-394,Government,1964
104,11728,DLR DEGREE COLLEGE  G MAMIDADA,PEDAPUDI,KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"BICCAVOLE ROAD, G.MAMIDADA,PEDAPUDI MANDAL, E.G.DT,A.P-533344",Private Un-Aided,1991
105,11742,DNR DEGREE COLLEGE BHIMAVARAM,BHEEMAVARAM,WEST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"BALUSUMUDI,SRIRAMAPURAM,BHIMAVARAM",Private Aided,1945
106,11743,"Sri Dasari Narayana Rao Government Degree College for Women, Palakol",Palakol,WEST GODAVARI,AU,NO,Women,ADIKAVI NANNAYA UNIVERSITY,"Behind Municipal office,Gajalakshmi centre,Palakol,",Government,1982
107,11769,DR  BR AMBEDKAR CENTENARY DEGREE COLLEGE TENALI,TENALI,GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"19-15-24/1,Tenali (Urban),Guntur,522201",Private Un-Aided,1991
