S.No.,Institute Code,Institute Name,Place,District,Region,Minority,Inst.Type,University Name,Address,Type of College,Year of EST
510,18021,"Sree Kandukuri Veeresalingam Theistic Government Degree College, Rajamahendravaram",Rajahmundry,EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"Y.Junction, 47-7-1, Ananda Gardens, Danavaipeta, Rajahmundry",Government,1972
511,18029,SRI LAKSHMI GANAPATHI  DEGREE COLLEGE  DHARMAPURI,VIZIANAGARAM,VIZIANAGARAM,AU,NO,COED,ANDHRA UNIVERSITY,"DHARMAPURI URBAN,DHARMAPURI,VIZIANAGARAM,Vizianagaram,535004",Private Un-Aided,1992
512,18045,S.L.R. PRATHIBA MODEL DEGREE COLLEGE TIRUVURU,TIRUVURU,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"Venkateswara Puram,NADIMI TIRUVURU,TIRUVURU,Krishna,521235",Private Un-Aided,2002
513,18046,SLS DEGREE COLLEGE PULLAREDDYPETA,DUVVUR,YSR,SVU,NO,COED,YOGI VEMANA UNIVERSITY,"Near Power House NH-19, pullareddipeta,DUVVUR,DUVVUR,Kadapa,516175",Private Aided,1982
514,18050,SMBTAV AND SN DEGREE COLLEGE VEERAVASARAM (GoMs.No.86(Edn.) dt 30.1.1981),VEERAVASARAM,WEST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"NH.214,PP ROAD, 4-121,VEERAVASARAM,VEERAVASARAM,West Godavari,534245",Private Un-Aided,1981
515,18054,SMKK DEGREE COLLEGE  YELLAMANCHILI,YELAMANCHILI,ANAKAPALLI,AU,NO,COED,ANDHRA UNIVERSITY,4-5-Main Road Yellamanchili,Private Un-Aided,2005
516,18056,"Sri Mahayogi Lakshamma Government Degree College,, Yemmiganur",Yemmiganur,KURNOOL,SVU,NO,COED,RAYALASEEMA UNIVERSITY,"SML GOVT. DEGREE COLLEGE, HANUMAPURAM(V), ADONI ROAD, YEMMIGANUR",Government,1982
517,18057,SMM JAIN DEGREE COLLEGE GUNTUR   142,Guntur(C) (Urban),GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"INDIRA GANDHI NAGAR,GUNTUR-3,Guntur(C) (Urban),Guntur(C) (Urban),Guntur,522003",Private Un-Aided,1996
518,18059,s.m.r and s.g.r degree college penuganchiprolu  170,PENUGANCHIPROLU,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"1-159,PENUGANCHIPROLU,PENUGANCHIPROLU,Krishna,521190",Private Un-Aided,1996
519,18075,SMT BSR DEGREE COLLEGE  GOKAVARAM,GOKAVARAM,EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"1-49,Smt.BSR Compound, Gokavarm.,GOKAVARAM,GOKAVARAM,East Godavari,533286",Private Un-Aided,2006
520,18087,SMT JASTI BULLEMMAI DEGREE COLLEGE MORAMPUDI  RAJAHMUNDRY,RAJAHMUNDRY(RURAL),EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"Bajal Gardens, Morampudi Rajahmundry-533107,RAJHAMUNDRY(NMA),RAJAHMUNDRY(RURAL),East Godavari,533107",Private Un-Aided,1996
521,18097,SMT SAKUNTHALA DEVI  DEGREE COLLEGE  I POLAVARAM,I POLAVARAM,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"PEDAVEEDI,I. POLAVARAM,I POLAVARAM,East Godavari,533220",Private Un-Aided,2001
522,18100,Smt. Theresa Arts  and Science Degree College Kurnool,Kurnool (Urban),KURNOOL,SVU,NO,COED,RAYALASEEMA UNIVERSITY,"Opp. Rayalaseema University,P.O.Box.NO. 5, Kurnool,Kurnool (Urban),Kurnool (Urban),Kurnool,518002",Private Un-Aided,1994
523,18112,SNBT DEGREE COLLEGE FOR WOMEN REPALLE,REPALLE,BAPATLA,AU,NO,Women,ACHARYA NAGARJUNA UNIVERSITY,J.L.B. College Road,Private Un-Aided,1988
524,18124,SNM DEGREE COLLEGE AMBAJIPETA,AMBAJIPETA,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"1-185,MACHAVARAM(U),AMBAJIPETA,East Godavari,533214",Private Un-Aided,2005
525,18128,SNR DEGREE COLLEGE KARIVENA 051,ATMAKUR,NANDYAL,SVU,NO,COED,RAYALASEEMA UNIVERSITY,"DOOR NO-8-114,KARIVENA ROAD",Private Un-Aided,1996
526,18132,SNSR DEGREE COLLEGE  VELGODE       021 (RU),VELGODU,NANDYAL,SVU,NO,COED,RAYALASEEMA UNIVERSITY,Nandyal to Atmakur road at Velgode (PO) Kurnool (Dist),Private Un-Aided,1977
527,18149,SPACES DEGREE COLLEGE  PAYAKARAOPETA,PAYAKARAOPETA,ANAKAPALLI,AU,NO,COED,ANDHRA UNIVERSITY,"N H -16 ,P L Puram,Payakaraopeta, Visakha Dist,PAYAKARAOPETA,PAYAKARAOPETA,Visakhapatnam,531126",Private Un-Aided,1992
